Year,Region,Number
1989,Downtown,148
1990,Downtown,83
1991,Downtown,136
1992,Downtown,120
1993,Downtown,121
1994,Downtown,129
1995,Downtown,129
1996,Downtown,114
1997,Downtown,103
1998,Downtown,114
1999,Downtown,117
2000,Downtown,114
2001,Downtown,101
2002,Downtown,72
2003,Downtown,100
2004,Downtown,116
2005,Downtown,84
2006,Downtown,69
2007,Downtown,61
2008,Downtown,62
2009,Downtown,53
2010,Downtown,64
2011,Downtown,63
2012,Downtown,72
2013,Downtown,68
2014,Downtown,54
2015,Downtown,52
2016,Downtown,47
1989,Midtown,645
1990,Midtown,509
1991,Midtown,662
1992,Midtown,559
1993,Midtown,471
1994,Midtown,503
1995,Midtown,560
1996,Midtown,564
1997,Midtown,505
1998,Midtown,477
1999,Midtown,474
2000,Midtown,461
2001,Midtown,413
2002,Midtown,389
2003,Midtown,425
2004,Midtown,474
2005,Midtown,331
2006,Midtown,303
2007,Midtown,213
2008,Midtown,305
2009,Midtown,292
2010,Midtown,335
2011,Midtown,374
2012,Midtown,409
2013,Midtown,431
2014,Midtown,447
2015,Midtown,408
2016,Midtown,412
1989,South City,412
1990,South City,207
1991,South City,332
1992,South City,324
1993,South City,369
1994,South City,393
1995,South City,568
1996,South City,579
1997,South City,609
1998,South City,643
1999,South City,616
2000,South City,629
2001,South City,665
2002,South City,793
2003,South City,828
2004,South City,843
2005,South City,786
2006,South City,721
2007,South City,665
2008,South City,605
2009,South City,690
2010,South City,755
2011,South City,749
2012,South City,830
2013,South City,918
2014,South City,894
2015,South City,786
2016,South City,851
1989,North City,2873
1990,North City,2718
1991,North City,3374
1992,North City,3488
1993,North City,3446
1994,North City,3648
1995,North City,4010
1996,North City,4227
1997,North City,4608
1998,North City,4829
1999,North City,4855
2000,North City,4973
2001,North City,4813
2002,North City,4831
2003,North City,4704
2004,North City,4715
2005,North City,4302
2006,North City,4376
2007,North City,4207
2008,North City,4005
2009,North City,3863
2010,North City,3972
2011,North City,4183
2012,North City,4539
2013,North City,4756
2014,North City,5034
2015,North City,5376
2016,North City,5871